family,tableId,year,row,col,rowLabel,storedValue
"CLCPA-142","A8","2023",25,3,"Building Shell",0.5
"CLCPA-142","A8","2023",26,3,"Domestic Hot Water Control",0.5
"CLCPA-142","A8","2023",27,3,"Subtotal",0.53
"CLCPA-142","A8","2023",29,3,"Domestic Hot Water Control",0.56
"CLCPA-142","A8","2023",30,3,"Lighting",0.54
"CLCPA-142","A8","2023",31,3,"Subtotal",0.55
"CLCPA-142","A8","2023",32,3,"Residential Programs Total Installations",0.36
"CLCPA-142","A8","2025",1,3,"HVAC",0.49
"CLCPA-142","A8","2025",2,3,"Clean Heat – Midstream Heat Pump Water Heater Total",0.49
"CLCPA-142","A8","2025",4,3,"HVAC",0.55
"CLCPA-142","A8","2025",5,3,"Clean Heat – Residential Air Source Heat Pump Total",0.55
"CLCPA-142","A8","2025",7,3,"HVAC",0.13
"CLCPA-142","A8","2025",8,3,"Clean Heat – Residential Ground Source Heat Pump Total",0.13
"CLCPA-142","A8","2025",10,3,"Building Shell",1
"CLCPA-142","A8","2025",11,3,"Domestic Hot Water",1
"CLCPA-142","A8","2025",12,3,"Domestic Hot Water - Control",1
"CLCPA-142","A8","2025",13,3,"HVAC",1
"CLCPA-142","A8","2025",14,3,"HVAC - Control",1
"CLCPA-142","A8","2025",15,3,"Lighting",1
"CLCPA-142","A8","2025",16,3,"Refrigeration",1
"CLCPA-142","A8","2025",17,3,"EmPower+ Total",1
"CLCPA-142","A8","2025",19,3,"Building Shell",0.58
"CLCPA-142","A8","2025",20,3,"Retail Products Total",0.58
"CLCPA-142","A8","2025",22,3,"HVAC",0.22
"CLCPA-142","A8","2025",23,3,"Weather Ready Total",0.22
"CLCPA-142","A8","2025",24,3,"Residential Programs Installations Total",0.57
"CLCPA-142","A8","2025",25,3,"Total CES Programs Installations",0.57
"CLCPA-142","A10","2024",1,3,"Installations","38%"
"CLCPA-142","A10","2024",1,6,"Installations","51%"
"CLCPA-142","A10","2024",2,3,"Commercial","39%"
"CLCPA-142","A10","2024",2,6,"Commercial","48%"
"CLCPA-142","A10","2024",3,3,"Multifamily","68%"
"CLCPA-142","A10","2024",3,6,"Multifamily","66%"
"CLCPA-142","A10","2024",4,6,"Multisector","50%"
"CLCPA-142","A10","2024",5,3,"Residential","36%"
"CLCPA-142","A10","2024",5,6,"Residential","50%"
"CLCPA-142","A10","2025",1,3,"Installations","51%"
"CLCPA-142","A10","2025",1,6,"Installations","57%"
"CLCPA-142","A10","2025",2,3,"Commercial","48%"
"CLCPA-142","A10","2025",2,6,"Commercial","37%"
"CLCPA-142","A10","2025",3,3,"Multifamily","66%"
"CLCPA-142","A10","2025",3,6,"Multifamily","71%"
"CLCPA-142","A10","2025",4,3,"Multisector","50%"
"CLCPA-142","A10","2025",4,6,"Multisector","0%"
"CLCPA-142","A10","2025",5,3,"Residential","50%"
"CLCPA-142","A10","2025",5,6,"Residential","57%"
"CLCPA-142","F2","2024",0,2,"Non-Excludable",0.11
"CLCPA-142","F2","2024",0,4,"Non-Excludable",0.89
"CLCPA-142","F2","2024",1,2,"Excludable",0.19
"CLCPA-142","F2","2024",1,4,"Excludable",0.81
"CLCPA-142","F2","2024",2,2,"Grand Total",0.12
"CLCPA-142","F2","2024",2,4,"Grand Total",0.88
"CLCPA-142","F2","2023",0,2,"Non-Excludable",0.0797
"CLCPA-142","F2","2023",0,4,"Non-Excludable",0.9203
"CLCPA-142","F2","2023",1,2,"Excludable",0.0992
"CLCPA-142","F2","2023",1,4,"Excludable",0.9008
"CLCPA-142","F2","2023",2,2,"Grand Total",0.0813
"CLCPA-142","F2","2023",2,4,"Grand Total",0.9187
"CLCPA-142","F2","2025",0,2,"Non-Excludable",0.1002
"CLCPA-142","F2","2025",0,4,"Non-Excludable",0.8998
"CLCPA-142","F2","2025",1,2,"Excludable",0.41609999999999997
"CLCPA-142","F2","2025",1,4,"Excludable",0.5839
"CLCPA-142","F2","2025",2,2,"Grand Total",0.1356
"CLCPA-142","F2","2025",2,4,"Grand Total",0.8644
"CLCPA-142","F8","2024",0,2,"Bronx",0.11
"CLCPA-142","F8","2024",0,4,"Bronx",0.01
"CLCPA-142","F8","2024",1,2,"Brooklyn",0.1
"CLCPA-142","F8","2024",1,4,"Brooklyn",0.16
"CLCPA-142","F8","2024",2,2,"Manhattan",0.07
"CLCPA-142","F8","2024",2,4,"Manhattan",0.14
"CLCPA-142","F8","2024",3,2,"Queens",0.1
"CLCPA-142","F8","2024",3,4,"Queens",0.17
"CLCPA-142","F8","2024",4,2,"Staten Island",0.01
"CLCPA-142","F8","2024",4,4,"Staten Island",0.04
"CLCPA-142","F8","2024",5,2,"Westchester",0.05
"CLCPA-142","F8","2024",5,4,"Westchester",0.05
"CLCPA-142","F8","2024",6,2,"Grand Total",0.44
"CLCPA-142","F8","2024",6,4,"Grand Total",0.56
"CLCPA-142","F8","2023",0,2,"Bronx",0.12
"CLCPA-142","F8","2023",0,4,"Bronx",0.02
"CLCPA-142","F8","2023",1,2,"Brooklyn",0.12
"CLCPA-142","F8","2023",1,4,"Brooklyn",0.16
"CLCPA-142","F8","2023",2,2,"Manhattan",0.07
"CLCPA-142","F8","2023",2,4,"Manhattan",0.14
"CLCPA-142","F8","2023",3,2,"Queens",0.08
"CLCPA-142","F8","2023",3,4,"Queens",0.15
"CLCPA-142","F8","2023",4,2,"Staten Island",0.01
"CLCPA-142","F8","2023",4,4,"Staten Island",0.04
"CLCPA-142","F8","2023",5,2,"Westchester",0.05
"CLCPA-142","F8","2023",5,4,"Westchester",0.06
"CLCPA-142","F8","2023",6,2,"Grand Total",0.44
"CLCPA-142","F8","2023",6,4,"Grand Total",0.56
"CLCPA-142","F8","2025",0,2,"Bronx",0.1211
"CLCPA-142","F8","2025",0,4,"Bronx",0.0155
"CLCPA-142","F8","2025",1,2,"Brooklyn",0.1084
"CLCPA-142","F8","2025",1,4,"Brooklyn",0.17620000000000002
"CLCPA-142","F8","2025",2,2,"Manhattan",0.0703
"CLCPA-142","F8","2025",2,4,"Manhattan",0.1367
"CLCPA-142","F8","2025",3,2,"Queens",0.0834
"CLCPA-142","F8","2025",3,4,"Queens",0.13849999999999998
"CLCPA-142","F8","2025",4,2,"Staten Island",0.013300000000000001
"CLCPA-142","F8","2025",4,4,"Staten Island",0.0363
"CLCPA-142","F8","2025",5,2,"Westchester",0.049800000000000004
"CLCPA-142","F8","2025",5,4,"Westchester",0.0506
"CLCPA-142","F8","2025",6,2,"Grand Total",0.44630000000000003
"CLCPA-142","F8","2025",6,4,"Grand Total",0.5537
"CLCPA-142","G1","2025",0,2,"Feet Replaced within DAC",0.47
"CLCPA-142","G1","2025",1,2,"Feet Replaced not in a DAC",0.53
"CLCPA-142","G1","2025",2,2,"Systemwide Total",1
"CLCPA-142","G2","2024",0,2,"Feet Replaced within DAC",0.83
"CLCPA-142","G2","2024",1,2,"Feet Replaced not in a DAC",0.17
"CLCPA-142","G2","2024",2,2,"County Total",1
"CLCPA-142","G2","2023",0,2,"Feet Replaced within DAC",0.9
"CLCPA-142","G2","2023",1,2,"Feet Replaced not in a DAC",0.1
"CLCPA-142","G2","2023",2,2,"County Total",1
"CLCPA-142","G2","2025",0,2,"Feet Replaced within DAC",0.9
"CLCPA-142","G2","2025",1,2,"Feet Replaced not in a DAC",0.1
"CLCPA-142","G2","2025",2,2,"County Total",1
"CLCPA-142","G3","2024",0,2,"Feet Abandoned within DAC",0.7
"CLCPA-142","G3","2024",1,2,"Feet Abandoned not in a DAC",0.3
"CLCPA-142","G3","2024",2,2,"County Total",1
"CLCPA-142","G4","2024",0,2,"Feet Replaced within DAC",0.42
"CLCPA-142","G4","2024",1,2,"Feet Replaced not in a DAC",0.58
"CLCPA-142","G4","2024",2,2,"County Total",1
"CLCPA-142","G4","2023",0,2,"Feet Replaced within DAC",0.34
"CLCPA-142","G4","2023",1,2,"Feet Replaced not in a DAC",0.66
"CLCPA-142","G4","2023",2,2,"County Total",1
"CLCPA-142","G4","2025",0,2,"Feet Replaced within DAC",0.59
"CLCPA-142","G4","2025",1,2,"Feet Replaced not in a DAC",0.41
"CLCPA-142","G4","2025",2,2,"County Total",1
"CLCPA-142","G5","2024",0,2,"Feet Abandoned within DAC",0.54
"CLCPA-142","G5","2024",1,2,"Feet Abandoned not in a DAC",0.46
"CLCPA-142","G5","2024",2,2,"County Total",1
"CLCPA-142","G5","2025",0,2,"Feet Abandoned within DAC",0.91
"CLCPA-142","G5","2025",1,2,"Feet Abandoned not in a DAC",0.09
"CLCPA-142","G5","2025",2,2,"County Total",1
"CLCPA-142","G6","2024",0,2,"Feet Replaced within DAC",0.23
"CLCPA-142","G6","2024",1,2,"Feet Replaced not in a DAC",0.77
"CLCPA-142","G6","2024",2,2,"County Total",1
"CLCPA-142","G6","2023",0,2,"Feet Replaced within DAC",0.34
"CLCPA-142","G6","2023",1,2,"Feet Replaced not in a DAC",0.66
"CLCPA-142","G6","2023",2,2,"County Total",1
"CLCPA-142","G6","2025",0,2,"Feet Replaced within DAC",0.26
"CLCPA-142","G6","2025",1,2,"Feet Replaced not in a DAC",0.74
"CLCPA-142","G6","2025",2,2,"County Total",1
"CLCPA-142","G7","2025",0,2,"Feet Abandoned within DAC",0.46
"CLCPA-142","G7","2025",1,2,"Feet Abandoned not in a DAC",0.54
"CLCPA-142","G7","2025",2,2,"County Total",1
"CLCPA-142","G8","2024",0,2,"Feet Replaced within DAC",0.41
"CLCPA-142","G8","2024",1,2,"Feet Replaced not in a DAC",0.59
"CLCPA-142","G8","2024",2,2,"County Total",1
"CLCPA-142","G8","2023",0,2,"Feet Replaced within DAC",0.35
"CLCPA-142","G8","2023",1,2,"Feet Replaced not in a DAC",0.65
"CLCPA-142","G8","2023",2,2,"County Total",1
"CLCPA-142","G8","2025",0,2,"Feet Replaced within DAC",0.36
"CLCPA-142","G8","2025",1,2,"Feet Replaced not in a DAC",0.64
"CLCPA-142","G8","2025",2,2,"County Total",1
"CLCPA-142","G9","2024",0,2,"Feet Abandoned within DAC",0.32
"CLCPA-142","G9","2024",1,2,"Feet Abandoned not in a DAC",0.68
"CLCPA-142","G9","2024",2,2,"County Total",1
"CLCPA-142","G9","2025",0,2,"Feet Abandoned within DAC",0.53
"CLCPA-142","G9","2025",1,2,"Feet Abandoned not in a DAC",0.47
"CLCPA-142","G9","2025",2,2,"County Total",1
"CLCPA-142","G10","2024",0,2,"Total mT CH4 in Non-DACs",0.48
"CLCPA-142","G10","2024",1,2,"Total mT CH4 in DACs",0.52
"CLCPA-142","G10","2024",2,2,"Grand Total",1
"CLCPA-142","G10","2023",0,2,"Total mT CH4 in Non-DACs",0.54
"CLCPA-142","G10","2023",1,2,"Total mT CH4 in DACs",0.46
"CLCPA-142","G10","2023",2,2,"Grand Total",1
"CLCPA-142","G10","2025",0,2,"Total mT CH4 in Non-DACs",0.46
"CLCPA-142","G10","2025",1,2,"Total mT CH4 in DACs",0.54
"CLCPA-142","G10","2025",2,2,"Grand Total",1
"CLCPA-142","J3","2023",0,2,"Total in DAC","60%"
"CLCPA-142","J3","2023",0,4,"Total in DAC","57%"
"CLCPA-142","J3","2023",1,2,"Total in Non-DAC","40%"
"CLCPA-142","J3","2023",1,4,"Total in Non-DAC","43%"
"CLCPA-142","J3","2025",0,2,"Total in DAC","66%"
"CLCPA-142","J3","2025",0,4,"Total in DAC","65%"
"CLCPA-142","J3","2025",1,2,"Total in Non-DAC","34%"
"CLCPA-142","J3","2025",1,4,"Total in Non-DAC","35%"
"CLCPA-142","J3","2025",2,2,"Total","100%"
"CLCPA-142","J3","2025",2,4,"Total","100%"
"CLCPA-142","J4","2023",0,2,"Total in DAC","63%"
"CLCPA-142","J4","2023",0,4,"Total in DAC","66%"
"CLCPA-142","J4","2023",1,2,"Total in Non-DAC","37%"
"CLCPA-142","J4","2023",1,4,"Total in Non-DAC","34%"
"CLCPA-142","J4","2025",0,2,"Total in DAC","68%"
"CLCPA-142","J4","2025",0,4,"Total in DAC","69%"
"CLCPA-142","J4","2025",1,2,"Total in Non-DAC","32%"
"CLCPA-142","J4","2025",1,4,"Total in Non-DAC","31%"
"CLCPA-142","J4","2025",2,2,"Total","100%"
"CLCPA-142","J4","2025",2,4,"Total","100%"
"CLCPA-142","J5","2024",0,2,"Number of residential service disconnections for non-payment",0.6
"CLCPA-142","J5","2024",0,4,"Number of residential service disconnections for non-payment",0.4
"CLCPA-142","J5","2024",1,2,"Number of residential service restorations due to payment",0.59
"CLCPA-142","J5","2024",1,4,"Number of residential service restorations due to payment",0.41
"CLCPA-142","J5","2023",0,2,"Number of residential service disconnections for non-payment",0.54
"CLCPA-142","J5","2023",0,4,"Number of residential service disconnections for non-payment",0.46
"CLCPA-142","J5","2023",1,2,"Number of residential service restorations due to payment",0.54
"CLCPA-142","J5","2023",1,4,"Number of residential service restorations due to payment",0.46
"CLCPA-142","J5","2025",0,2,"Number of residential service disconnections for non-payment",0.62
"CLCPA-142","J5","2025",0,4,"Number of residential service disconnections for non-payment",0.38
"CLCPA-142","J5","2025",1,2,"Number of residential service restorations due to payment",0.61
"CLCPA-142","J5","2025",1,4,"Number of residential service restorations due to payment",0.39
"CLCPA-142","J6","2025",0,2,"Total in DAC","63%"
"CLCPA-142","J6","2025",0,4,"Total in DAC","64%"
"CLCPA-142","J6","2025",1,2,"Total in Non-DAC","37%"
"CLCPA-142","J6","2025",1,4,"Total in Non-DAC","36%"
"CLCPA-142","J6","2025",2,2,"Total","100%"
"CLCPA-142","J6","2025",2,4,"Total","100%"
"CLCPA-142","J7","2025",0,4,"Total in DAC","66%"
"CLCPA-142","J7","2025",1,4,"Total in Non-DAC","34%"
"CLCPA-142","J7","2025",2,4,"Total","100%"
